2024-07-02 11:00:21.178878;363;H=38;T=37;Hs=25.79266;sp=20;sf=7;rx_timestamp=2241264628; rssi=-98; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:01:48.725460;367;H=50;T=34;Hs=25.11578;sp=20;sf=7;rx_timestamp=2328892440; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;371;H=47;T=34;Hs=24.97328;sp=20;sf=7;rx_timestamp=2414431265; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:04:44.191362;375;H=40;T=38;Hs=25.18703;sp=20;sf=7;rx_timestamp=2504167074; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:07:36.666236;383;H=36;T=40;Hs=25.04453;sp=20;sf=7;rx_timestamp=2677336711; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:09:02.192190;387;H=33;T=40;Hs=24.65266;sp=20;sf=7;rx_timestamp=2762871533; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:10:30.060364;391;H=33;T=42;Hs=24.79516;sp=20;sf=7;rx_timestamp=2850504354; rssi=-95; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;395;H=31;T=43;Hs=24.51015;sp=20;sf=7;rx_timestamp=2936040165; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;399;H=34;T=42;Hs=24.47453;sp=20;sf=7;rx_timestamp=3023663990; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;403;H=32;T=42;Hs=24.26078;sp=20;sf=7;rx_timestamp=3109203816; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:16:14.292790;407;H=32;T=42;Hs=24.68828;sp=20;sf=7;rx_timestamp=3194736641; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:17:40.220710;411;H=31;T=43;Hs=24.58141;sp=20;sf=7;rx_timestamp=3280299456; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:19:05.664103;415;H=32;T=42;Hs=24.26078;sp=20;sf=7;rx_timestamp=3365837284; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:20:33.197908;419;H=32;T=43;Hs=24.2964;sp=20;sf=7;rx_timestamp=3453461054; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:21:58.676390;423;H=29;T=43;Hs=24.47453;sp=20;sf=7;rx_timestamp=3539047916; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:23:26.697260;427;H=31;T=44;Hs=24.79516;sp=20;sf=7;rx_timestamp=3626670743; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:24:51.854391;431;H=29;T=44;Hs=24.36765;sp=20;sf=7;rx_timestamp=3712206570; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:26:19.676833;435;H=36;T=44;Hs=24.1539;sp=20;sf=7;rx_timestamp=3799843342; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:27:45.205467;439;H=32;T=44;Hs=24.40328;sp=20;sf=7;rx_timestamp=3885374230; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:29:10.238664;443;H=32;T=43;Hs=24.36765;sp=20;sf=7;rx_timestamp=3970908076; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:30:36.243634;447;H=30;T=43;Hs=24.47453;sp=20;sf=7;rx_timestamp=4056510905; rssi=-95; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:32:01.184648;451;H=36;T=40;Hs=24.08265;sp=20;sf=7;rx_timestamp=4142036745; rssi=-98; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:33:27.202126;455;H=38;T=36;Hs=24.4389;sp=20;sf=7;rx_timestamp=4227566530; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:34:52.737142;459;H=45;T=34;Hs=23.90453;sp=20;sf=7;rx_timestamp=18130131; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
